Camera Number,Latitude,Longitude,Main Road,Cross Street,Group, Traffic Image , North Reference Static Image , South Reference Static Image , East Reference Static Image , West Reference Static Image
Camera8001,43.643023,-79.381606,YORK ST,BREMNER BLVD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8001.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8001w.jpg
Camera8002,43.642163,-79.384267,BREMNER BLVD,LOWER SIMCOE ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8002.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8002w.jpg
Camera8003,43.649405,-79.371467,JARVIS ST,FRONT ST E,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8003.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8003w.jpg
Camera8004,43.645097,-79.382773,UNIVERSITY AVE,FRONT ST W / YORK ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8004.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8004w.jpg
Camera8005,43.644628,-79.38506,FRONT ST W,SIMCOE ST / LOWER SIMCOE ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8005.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8005w.jpg
Camera8006,43.6438,-79.389043,FRONT ST W,JOHN ST / PRIVATE ACCESS,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8006.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8006w.jpg
Camera8007,43.642683,-79.393781,SPADINA AVE,FRONT ST W,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8007.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8007w.jpg
Camera8008,43.64083,-79.401523,BATHURST ST,FRONT ST W,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8008.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8008e.jpg ,
Camera8009,43.650278,-79.372145,JARVIS ST,KING ST E,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8009.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8009w.jpg
Camera8010,43.652849,-79.36339,KING ST E,PARLIAMENT ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8010.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8010w.jpg
