"id","name","longitude","latitude"
7677,RG_001,-79.4781121,43.6476803
7678,RG_002,-79.4436159,43.6511961
7679,RG_003,-79.4050941,43.6566155
7680,RG_004,-79.4028332,43.678343
7681,RG_006,-79.375101,43.6612653
7682,RG_007,-79.33114479,43.67672013
7683,RG_012,-79.58163682,43.7392166
7684,RG_013,-79.5719377,43.69491707
7685,RG_014,-79.54147435,43.68343046
7686,RG_015,-79.52827501,43.63806492
7687,RG_016,-79.52036622,43.6081253
7674,RG_017,-79.4660280206677,43.6973503498912
7675,RG_018,-79.3432839059,43.7031334752
7676,RG_019,-79.5188375746,43.7652268939
7688,RG_020,-79.47160572,43.76984809
7690,RG_021,-79.54886015,43.75465603
7691,RG_022,-79.36517569,43.76906559
7692,RG_023,-79.31384791,43.7239323
7693,RG_024,-79.51380861,43.72039422
7694,RG_025,-79.46571593,43.73250641
7695,RG_027,-79.40840918,43.77443991
7696,RG_028,-79.37135707,43.80009358
7697,RG_030,-79.3261282,43.7595662
7698,RG_031,-79.30554427,43.81233291
7699,RG_033,-79.25725151,43.81844633
7700,RG_034,-79.27244556,43.76973811
7701,RG_035,-79.19432584,43.79378081
7702,RG_036,-79.3201323,43.65866723
7703,RG_037,-79.35836438,43.7340786
7704,RG_038,-79.14840514,43.77751424
7705,RG_039,-79.4047349,43.7061244
7706,RG_040,-79.28445514,43.69489657
7707,RG_041,-79.1772287,43.7690071
7708,RG_042,-79.2614587,43.7329702
7709,RG_044,-79.40692306,43.74840611
7710,RG_045,-79.448202,43.6914494
7711,RG_046,-79.57057758,43.71777139
7712,RG_047,-79.4563102,43.7087093
7713,RG_048,-79.5647009,43.6428503
7714,RG_049,-79.49112331,43.66414511
7715,RG_051,-79.4222852,43.7905864
7716,RG_052,-79.58503373,43.6503898
7689,RG_053,-79.47860642,43.69012702
8017,RG_054,-79.51260905,43.70058814
8049,RG_055,-79.44334,43.728869
8018,RG_056,-79.51458047,43.74597194
