"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2018,31,30,1,0,0,0,0,57,38,26,0,0,0,0,31,0
"Akron, OH","10420",2018,90,71,19,0,0,0,0,79,60,37,0,0,27,0,63,0
"Albany, GA","10500",2018,59,44,15,0,0,0,0,79,64,29,0,0,0,0,59,0
"Albany-Schenectady-Troy, NY","10580",2018,90,69,21,0,0,0,0,78,60,40,0,0,52,0,38,0
"Alexandria, LA","10780",2018,28,26,2,0,0,0,0,54,49,27,0,0,0,0,28,0
"Amarillo, TX","11100",2018,59,59,0,0,0,0,0,48,44,37,0,0,59,0,0,0
"Ann Arbor, MI","11460",2018,58,58,0,0,0,0,0,44,38,32,0,0,58,0,0,0
"Appleton, WI","11540",2018,31,21,8,2,0,0,0,123,69,35,0,0,0,5,26,0
"Ardmore, OK","11620",2018,90,72,18,0,0,0,0,84,55,34,0,0,13,0,77,0
"Arkadelphia, AR","11660",2018,59,59,0,0,0,0,0,40,36,28,0,0,59,0,0,0
"Asheville, NC","11700",2018,90,50,21,13,6,0,0,199,135,43,0,0,0,44,46,0
"Ashtabula, OH","11780",2018,90,90,0,0,0,0,0,46,42,1,0,0,30,60,0,0
"Athens, OH","11900",2018,16,16,0,0,0,0,0,40,36,23,0,0,0,0,16,0
"Athens-Clarke County, GA","12020",2018,11,11,0,0,0,0,0,32,25,19,0,0,0,0,11,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2018,59,43,16,0,0,0,0,63,58,42,0,6,11,0,42,0
"Augusta-Richmond County, GA-SC","12260",2018,120,86,34,0,0,0,0,90,61,44,0,0,71,2,47,0
"Augusta-Waterville, ME","12300",2018,119,113,6,0,0,0,0,87,48,37,0,42,66,1,8,2
"Bakersfield, CA","12540",2018,120,106,14,0,0,0,0,80,52,32,0,0,47,0,70,3
"Baltimore-Columbia-Towson, MD","12580",2018,90,58,32,0,0,0,0,85,64,44,0,6,30,4,50,0
"Bangor, ME","12620",2018,120,105,15,0,0,0,0,87,52,41,0,0,60,0,60,0
"Baraboo, WI","12660",2018,31,27,4,0,0,0,0,60,51,34,0,0,0,0,31,0
"Barnstable Town, MA","12700",2018,86,86,0,0,0,0,0,47,43,38,0,0,86,0,0,0
"Baton Rouge, LA","12940",2018,120,82,33,4,1,0,0,153,73,46,0,1,80,1,38,0
"Bay City, MI","13020",2018,1,1,0,0,0,0,0,22,22,22,0,0,0,0,1,0
"Beaver Dam, WI","13180",2018,36,31,5,0,0,0,0,61,56,32,0,0,13,0,18,5
"Bellingham, WA","13380",2018,31,22,8,1,0,0,0,104,69,35,0,0,0,15,16,0
"Bemidji, MN","13420",2018,88,83,5,0,0,0,0,58,43,25,0,0,0,0,88,0
"Birmingham-Hoover, AL","13820",2018,59,37,21,1,0,0,0,124,58,47,0,1,6,8,43,1
"Bishop, CA","13860",2018,88,86,2,0,0,0,0,71,46,40,0,0,84,0,0,4
"Bismarck, ND","13900",2018,88,69,18,1,0,0,0,122,62,40,0,1,47,0,40,0
"Blacksburg-Christiansburg-Radford, VA","13980",2018,85,77,6,2,0,0,0,118,49,33,0,0,43,42,0,0
"Bloomington, IL","14010",2018,90,69,21,0,0,0,0,73,61,40,0,0,34,0,56,0
"Bloomington, IN","14020",2018,90,83,7,0,0,0,0,97,46,37,0,0,59,0,31,0
"Boston-Cambridge-Newton, MA-NH","14460",2018,90,48,42,0,0,0,0,82,66,50,0,1,24,0,65,0
"Boulder, CO","14500",2018,94,87,7,0,0,0,0,96,49,41,0,0,81,0,11,2
"Bowling Green, KY","14540",2018,89,88,1,0,0,0,0,67,42,32,0,0,88,1,0,0
"Bozeman, MT","14580",2018,90,90,0,0,0,0,0,34,17,6,19,50,0,0,21,0
"Brainerd, MN","14660",2018,90,75,15,0,0,0,0,77,55,32,0,0,0,0,90,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2018,90,67,23,0,0,0,0,71,60,41,0,8,34,0,48,0
"Cadillac, MI","15620",2018,58,58,0,0,0,0,0,44,40,36,0,0,58,0,0,0
