Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
1,2010-06-04,18:45:00,F9 v1.0  B0003,CCAFS LC-40,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure   (parachute)
2,2010-12-08,15:43:00,F9 v1.0  B0004,CCAFS LC-40,"Dragon demo flight C1, two CubeSats,  barrel of Brouère cheese",,LEO (ISS),NASA (COTS) NRO,Success,Failure   (parachute)
3,2012-05-22,7:44:00,F9 v1.0  B0005,CCAFS LC-40,Dragon demo flight C2+,525 ,LEO (ISS),NASA (COTS),Success,No attempt
4,2012-10-08,0:35:00,F9 v1.0  B0006,CCAFS LC-40,SpaceX CRS-1,500 ,LEO (ISS),NASA (CRS),Success,No attempt
5,2013-03-01,15:10:00,F9 v1.0  B0007,CCAFS LC-40,SpaceX CRS-2,677 ,LEO (ISS),NASA (CRS),Success,No attempt
6,2013-09-29,16:00:00,F9 v1.1  B1003,VAFB SLC-4E,CASSIOPE,500 ,Polar LEO,MDA,Success,Uncontrolled (ocean)
7,2013-12-03,22:41:00,F9 v1.1,CCAFS LC-40,SES-8,"3,170 ",GTO,SES,Success,No attempt
8,2014-01-06,22:06:00,F9 v1.1,CCAFS LC-40,Thaicom 6,"3,325 ",GTO,Thaicom,Success,No attempt
9,2014-04-18,19:25:00,F9 v1.1,CCAFS LC-40,SpaceX CRS-3,"2,296 ",LEO (ISS),NASA (CRS),Success,Controlled (ocean)
10,2014-07-14,15:15:00,F9 v1.1,CCAFS LC-40,OG2 Mission 1  6 Orbcomm-OG2 satellites,"1,316 ",LEO,Orbcomm,Success,Controlled (ocean)
11,2014-08-05,8:00:00,F9 v1.1,CCAFS LC-40,AsiaSat 8,"4,535 ",GTO,AsiaSat,Success,No attempt
12,2014-09-07,5:00:00,F9 v1.1 B1011,CCAFS LC-40,AsiaSat 6,"4,428 ",GTO,AsiaSat,Success,No attempt
13,2014-09-21,5:52:00,F9 v1.1 B1010,CCAFS LC-40,SpaceX CRS-4,"2,216 ",LEO (ISS),NASA (CRS),Success,Uncontrolled (ocean)
14,2015-01-10,9:47:00,F9 v1.1 B1012,CCAFS LC-40,SpaceX CRS-5,"2,395 ",LEO (ISS),NASA (CRS),Success,Failure  (drone ship)
15,2015-02-11,23:03:00,F9 v1.1 B1013,CCAFS LC-40,DSCOVR,570 ,Sun–Earth L1,U.S. Air Force NASA NOAA,Success,Controlled (ocean)
16,2015-03-02,3:50:00,F9 v1.1 B1014,CCAFS LC-40,ABS-3A Eutelsat 115 West B,"4,159 ",GTO,ABS Eutelsat,Success,No attempt
17,2015-04-14,20:10:00,F9 v1.1 B1015,CCAFS LC-40,SpaceX CRS-6,"1,898 ",LEO (ISS),NASA (CRS),Success,Failure  (drone ship)
18,2015-04-27,23:03:00,F9 v1.1 B1016,CCAFS LC-40,TürkmenÄlem 52°E / MonacoSAT,"4,707 ",GTO,Turkmenistan National Space Agency,Success,No attempt
19,2015-06-28,14:21:00,F9 v1.1 B1018,CCAFS LC-40,SpaceX CRS-7,"1,952 ",LEO (ISS),NASA (CRS),Failure  (in flight),Precluded  (drone ship)
20,2015-12-22,1:29:00,F9 FT B1019,CCAFS LC-40,OG2 Mission 2   11 Orbcomm-OG2 satellites,"2,034 ",LEO,Orbcomm,Success,Success  (ground pad)
